data_inversa,n_crashes
2022-05-08,210
2022-05-09,178
2022-05-10,154
2022-05-11,157
2022-05-12,161
2022-05-13,182
2022-05-14,211
2022-05-15,209
2022-05-16,173
2022-05-17,128
2022-05-18,127
2022-05-19,140
2022-05-20,185
2022-05-21,196
2022-05-22,195
2022-05-23,170
2022-05-24,155
2022-05-25,181
2022-05-26,152
2022-05-27,190
2022-05-28,201
2022-05-29,208
2022-05-30,169
2022-05-31,140
2022-06-01,152
2022-06-02,161
2022-06-03,177
2022-06-04,203
2022-06-05,198
2022-06-06,166
2022-06-07,158
2022-06-08,146
2022-06-09,154
2022-06-10,181
2022-06-11,173
2022-06-12,205
2022-06-13,162
2022-06-14,156
2022-06-15,187
2022-06-16,165
2022-06-17,141
2022-06-18,205
2022-06-19,203
2022-06-20,187
2022-06-21,156
2022-06-22,164
2022-06-23,173
2022-06-24,198
2022-06-25,162
2022-06-26,200
2022-06-27,158
2022-06-28,131
2022-06-29,147
2022-06-30,146
2022-07-01,190
2022-07-02,211
2022-07-03,207
2022-07-04,162
2022-07-05,152
2022-07-06,161
2022-07-07,156
2022-07-08,210
2022-07-09,222
2022-07-10,201
2022-07-11,169
2022-07-12,145
2022-07-13,145
2022-07-14,162
2022-07-15,163
2022-07-16,204
2022-07-17,225
2022-07-18,150
2022-07-19,139
2022-07-20,170
2022-07-21,164
2022-07-22,235
2022-07-23,199
2022-07-24,260
2022-07-25,174
2022-07-26,144
2022-07-27,166
2022-07-28,145
2022-07-29,201
2022-07-30,201
2022-07-31,226
2022-08-01,165
2022-08-02,145
2022-08-03,175
2022-08-04,185
2022-08-05,198
2022-08-06,229
2022-08-07,204
2022-08-08,184
2022-08-09,154
2022-08-10,161
2022-08-11,171
2022-08-12,205
2022-08-13,221
2022-08-14,234
2022-08-15,179
2022-08-16,168
2022-08-17,158
2022-08-18,156
2022-08-19,194
2022-08-20,184
2022-08-21,196
2022-08-22,162
2022-08-23,156
2022-08-24,145
2022-08-25,156
2022-08-26,215
2022-08-27,196
2022-08-28,216
2022-08-29,185
2022-08-30,154
2022-08-31,159
2022-09-01,144
2022-09-02,203
2022-09-03,221
2022-09-04,230
2022-09-05,169
2022-09-06,179
